iter	Passed	Remaining
0	3	1485
1	6	1300
2	9	1300
3	12	1286
4	15	1254
5	18	1245
6	22	1237
7	25	1225
8	28	1223
9	31	1212
10	34	1211
11	37	1212
12	40	1208
13	43	1200
14	46	1192
15	49	1185
16	52	1183
17	55	1175
18	58	1171
19	61	1173
20	64	1170
21	67	1164
22	70	1162
23	73	1157
24	77	1158
25	80	1152
26	83	1149
27	86	1144
28	89	1141
29	92	1138
30	95	1137
31	98	1135
32	101	1132
33	104	1128
34	107	1124
35	110	1120
36	113	1117
37	116	1113
38	119	1109
39	123	1109
40	126	1106
41	129	1102
42	132	1101
43	135	1098
44	138	1094
45	142	1095
46	145	1094
47	148	1090
48	151	1087
49	154	1082
50	157	1079
51	160	1076
52	163	1073
53	167	1070
54	170	1068
55	173	1064
56	176	1060
57	179	1057
58	182	1054
59	185	1051
60	188	1047
61	191	1045
62	194	1041
63	197	1037
64	200	1035
65	204	1033
66	207	1030
67	210	1026
68	213	1023
69	216	1018
70	218	1014
71	221	1010
72	225	1008
73	228	1005
74	231	1001
75	234	998
76	237	994
77	240	991
78	243	987
79	246	984
80	249	981
81	252	978
82	255	974
83	258	972
84	261	969
85	264	965
86	267	963
87	270	960
88	273	957
89	277	954
90	279	950
91	283	947
92	286	944
93	288	940
94	292	937
95	294	934
96	297	930
97	301	927
98	304	925
99	308	924
100	311	921
101	314	918
102	317	915
103	320	913
104	324	910
105	327	909
106	331	906
107	334	904
108	337	901
109	340	898
110	344	896
111	347	893
112	350	891
113	353	887
114	357	885
115	360	882
116	363	880
117	367	877
118	370	874
119	374	873
120	377	870
121	380	867
122	384	865
123	387	862
124	391	860
125	394	857
126	397	854
127	400	851
128	404	848
129	407	845
130	410	843
131	414	841
132	417	838
133	420	835
134	424	832
135	427	829
136	430	826
137	433	823
138	437	821
139	440	818
140	444	815
141	447	812
142	450	809
143	453	806
144	456	803
145	460	801
146	463	798
147	466	795
148	470	792
149	473	789
150	476	786
151	480	783
152	483	780
153	486	777
154	490	775
155	493	772
156	496	769
157	500	766
158	503	763
159	506	760
160	510	757
161	513	754
162	516	751
163	519	748
164	523	745
165	526	742
166	530	739
167	533	736
168	536	733
169	540	730
170	543	727
171	546	724
172	550	721
173	553	719
174	558	717
175	560	713
176	564	711
177	568	708
178	571	706
179	575	702
180	578	700
181	582	697
182	585	693
183	588	690
184	591	687
185	595	684
186	598	682
187	602	679
188	606	677
189	610	674
190	613	671
191	617	668
192	620	665
193	624	662
194	627	660
195	631	657
196	635	654
197	639	652
198	642	648
199	646	646
200	649	643
201	653	640
202	657	637
203	660	634
204	664	632
205	667	628
206	671	625
207	674	622
208	678	619
209	681	616
210	685	613
211	688	610
212	692	607
213	695	604
214	699	601
215	703	599
216	706	596
217	710	593
218	713	589
219	716	586
220	720	583
221	723	580
222	727	577
223	730	573
224	733	570
225	736	567
226	740	563
227	743	560
228	746	557
229	750	554
230	753	551
231	756	548
232	760	544
233	763	541
234	766	538
235	769	535
236	773	531
237	776	528
238	780	525
239	783	522
240	786	519
241	789	515
242	792	512
243	796	509
244	799	506
245	803	502
246	806	499
247	809	495
248	812	492
249	816	489
250	819	486
251	822	483
252	825	479
253	828	476
254	831	472
255	835	469
256	838	466
257	841	463
258	844	459
259	847	456
260	850	452
261	853	449
262	856	446
263	859	442
264	862	439
265	865	435
266	868	432
267	871	429
268	875	426
269	878	422
270	881	419
271	884	416
272	887	412
273	890	409
274	893	406
275	896	402
276	899	399
277	902	396
278	905	392
279	908	389
280	911	386
281	914	382
282	917	379
283	920	376
284	923	372
285	926	369
286	929	366
287	932	362
288	935	359
289	938	356
290	941	352
291	944	349
292	947	346
293	951	343
294	955	339
295	959	337
296	964	334
297	970	332
298	975	329
299	979	326
300	984	323
301	989	321
302	993	318
303	999	315
304	1004	312
305	1008	309
306	1013	306
307	1018	304
308	1023	301
309	1028	298
310	1032	295
311	1037	292
312	1041	289
313	1045	286
314	1050	283
315	1053	280
316	1056	276
317	1059	273
318	1062	269
319	1065	266
320	1068	262
321	1071	259
322	1074	256
323	1077	252
324	1080	249
325	1083	245
326	1086	242
327	1089	239
328	1092	235
329	1095	232
330	1098	229
331	1101	225
332	1104	222
333	1107	218
334	1110	215
335	1113	212
336	1116	208
337	1119	205
338	1122	201
339	1125	198
340	1128	195
341	1131	191
342	1134	188
343	1137	185
344	1140	181
345	1143	178
346	1146	175
347	1149	171
348	1153	168
349	1156	165
350	1159	161
351	1162	158
352	1165	155
353	1168	151
354	1171	148
355	1175	145
356	1178	141
357	1181	138
358	1184	135
359	1187	131
360	1190	128
361	1193	125
362	1196	121
363	1199	118
364	1202	115
365	1205	111
366	1208	108
367	1211	105
368	1214	102
369	1217	98
370	1220	95
371	1223	92
372	1226	88
373	1230	85
374	1233	82
375	1236	78
376	1239	75
377	1241	72
378	1245	68
379	1248	65
380	1251	62
381	1254	59
382	1257	55
383	1260	52
384	1263	49
385	1266	45
386	1269	42
387	1272	39
388	1275	36
389	1278	32
390	1281	29
391	1284	26
392	1287	22
393	1290	19
394	1293	16
395	1297	13
396	1300	9
397	1303	6
398	1306	3
399	1309	0
