iter	Passed	Remaining
0	3	1253
1	5	1148
2	8	1110
3	11	1097
4	13	1103
5	17	1122
6	19	1108
7	22	1097
8	25	1086
9	27	1070
10	29	1049
11	32	1043
12	34	1037
13	37	1027
14	39	1023
15	42	1023
16	45	1018
17	47	1014
18	50	1015
19	53	1011
20	55	1009
21	58	1007
22	61	1001
23	63	1000
24	66	994
25	69	992
26	71	988
27	74	987
28	77	985
29	79	984
30	82	981
31	84	977
32	88	979
33	91	980
34	94	983
35	97	980
36	99	977
37	102	973
38	104	969
39	107	967
40	110	963
41	112	960
42	115	956
43	117	954
44	120	951
45	123	949
46	126	946
47	128	943
48	131	943
49	134	942
50	137	939
51	140	937
52	142	934
53	145	931
54	147	928
55	150	926
56	153	923
57	156	920
58	158	917
59	161	914
60	164	912
61	167	910
62	169	908
63	172	905
64	175	902
65	177	899
66	180	895
67	182	893
68	185	891
69	188	888
70	191	886
71	193	882
72	196	879
73	199	877
74	201	875
75	204	872
76	207	869
77	209	866
78	212	864
79	215	861
80	217	858
81	220	854
82	223	851
83	225	849
84	228	846
85	230	842
86	233	839
87	235	836
88	238	834
89	241	831
90	244	829
91	247	826
92	249	824
93	252	823
94	255	821
95	258	818
96	261	816
97	264	814
98	267	812
99	270	810
100	273	808
101	276	806
102	278	803
103	281	801
104	284	798
105	287	796
106	290	794
107	293	792
108	295	789
109	298	787
110	301	785
111	304	783
112	307	781
113	310	779
114	313	776
115	316	774
116	319	772
117	322	770
118	325	768
119	328	766
120	330	762
121	333	759
122	336	757
123	339	754
124	342	752
125	343	747
126	346	745
127	349	742
128	352	740
129	355	737
130	357	735
131	360	732
132	363	729
133	366	727
134	369	725
135	372	722
136	375	720
137	378	718
138	381	716
139	384	713
140	387	711
141	390	709
142	393	707
143	396	704
144	399	702
145	402	699
146	405	697
147	407	694
148	410	691
149	413	689
150	416	686
151	419	684
152	422	681
153	424	678
154	427	676
155	430	673
156	433	670
157	436	668
158	438	665
159	441	662
160	444	659
161	446	656
162	449	653
163	452	650
164	454	647
165	457	644
166	460	641
167	462	639
168	465	636
169	468	633
170	471	630
171	473	627
172	476	625
173	479	622
174	481	619
175	484	616
176	487	613
177	489	611
178	492	608
179	495	605
180	498	603
181	501	601
182	504	598
183	507	595
184	510	593
185	513	590
186	516	587
187	518	585
188	521	582
189	524	579
190	527	576
191	529	574
192	532	571
193	535	568
194	538	565
195	540	562
196	543	560
197	546	557
198	548	554
199	551	551
200	554	548
201	556	545
202	559	542
203	562	540
204	564	537
205	567	534
206	569	531
207	572	528
208	575	525
209	577	522
210	580	520
211	583	517
212	586	514
213	589	512
214	591	509
215	595	507
216	598	504
217	600	501
218	603	498
219	606	495
220	608	493
221	611	490
222	614	487
223	617	484
224	619	482
225	622	479
226	625	476
227	628	473
228	630	471
229	633	468
230	636	465
231	638	462
232	641	459
233	643	456
234	646	453
235	649	451
236	651	448
237	654	445
238	657	442
239	660	440
240	662	437
241	665	434
242	668	431
243	670	428
244	673	425
245	675	423
246	678	420
247	680	417
248	683	414
249	686	411
250	688	408
251	691	406
252	694	403
253	696	400
254	699	397
255	702	394
256	704	392
257	707	389
258	709	386
259	712	383
260	715	380
261	718	378
262	720	375
263	723	372
264	726	369
265	728	367
266	731	364
267	734	361
268	736	358
269	739	355
270	741	353
271	744	350
272	747	347
273	749	344
274	752	342
275	755	339
276	757	336
277	760	333
278	762	330
279	765	328
280	768	325
281	770	322
282	773	319
283	775	316
284	778	314
285	781	311
286	784	308
287	786	305
288	789	303
289	792	300
290	795	297
291	798	295
292	802	292
293	805	290
294	808	287
295	811	285
296	813	282
297	816	279
298	819	276
299	821	273
300	824	271
301	827	268
302	829	265
303	832	262
304	835	260
305	837	257
306	840	254
307	842	251
308	845	248
309	847	246
310	850	243
311	852	240
312	855	237
313	858	235
314	860	232
315	863	229
316	866	226
317	868	224
318	871	221
319	874	218
320	876	215
321	879	213
322	882	210
323	885	207
324	887	204
325	890	202
326	893	199
327	896	196
328	899	194
329	901	191
330	904	188
331	907	185
332	910	183
333	912	180
334	915	177
335	918	174
336	920	172
337	923	169
338	926	166
339	928	163
340	931	161
341	933	158
342	936	155
343	939	152
344	941	150
345	944	147
346	947	144
347	949	141
348	952	139
349	954	136
350	957	133
351	960	130
352	963	128
353	965	125
354	968	122
355	971	120
356	973	117
357	976	114
358	979	111
359	981	109
360	984	106
361	987	103
362	989	100
363	991	98
364	994	95
365	997	92
366	999	89
367	1002	87
368	1005	84
369	1007	81
370	1010	78
371	1012	76
372	1015	73
373	1018	70
374	1020	68
375	1023	65
376	1025	62
377	1028	59
378	1031	57
379	1033	54
380	1036	51
381	1039	48
382	1041	46
383	1044	43
384	1047	40
385	1049	38
386	1052	35
387	1054	32
388	1057	29
389	1060	27
390	1062	24
391	1065	21
392	1068	19
393	1070	16
394	1073	13
395	1075	10
396	1079	8
397	1083	5
398	1087	2
399	1091	0
